attendance,study_hours,test_score,assignment_score,label
79.7,18.4,15.6,70.5,Average
49.5,22.2,51.2,96.5,Average
87.3,23.0,21.6,43.4,Average
72.8,12.6,23.7,48.3,Average
18.5,13.0,66.9,83.1,Average
97.8,20.0,45.4,55.5,Strong
78.5,7.9,93.0,76.3,Average
80.7,20.9,38.7,51.4,Average
21.5,12.4,75.4,29.4,Average
50.5,2.9,51.5,77.1,Average
43.4,1.8,69.4,21.8,Weak
93.4,21.0,64.0,27.9,Strong
67.9,1.4,52.6,66.4,Average
84.0,7.0,95.5,77.3,Strong
49.9,8.4,40.8,90.5,Average
30.5,4.3,26.0,34.5,Weak
59.9,7.8,71.0,20.0,Average
15.7,18.6,86.1,96.0,Average
84.5,0.4,13.6,23.9,Weak
66.8,20.7,50.5,27.8,Average
78.2,21.4,90.3,36.2,Strong
41.9,9.3,77.5,57.6,Average
97.4,3.8,99.3,89.5,Strong
90.4,15.0,57.8,78.4,Strong
80.1,3.0,69.4,73.7,Average
27.5,9.1,37.2,25.8,Weak
52.0,24.0,95.3,42.2,Strong
13.9,24.9,43.0,53.1,Average
23.9,19.3,76.5,23.3,Average
71.5,7.8,46.3,34.6,Average
77.0,17.2,60.6,37.7,Average
97.1,17.6,74.8,21.5,Strong
39.3,9.7,55.8,59.5,Average
43.3,16.0,91.6,73.5,Strong
52.3,0.3,47.7,16.3,Weak
27.1,5.2,68.2,53.3,Average
21.7,13.1,40.8,80.4,Average
52.8,4.1,46.7,77.3,Average
30.4,4.1,49.6,83.4,Average
70.3,20.9,21.3,50.3,Average
49.3,24.7,18.3,83.9,Average
84.9,13.9,70.1,31.7,Average
73.0,21.0,69.0,42.5,Average
38.1,24.8,69.7,25.9,Average
84.9,3.5,11.8,52.1,Average
82.4,11.2,39.4,45.3,Average
44.9,9.8,27.8,31.7,Average
35.9,2.0,80.0,77.7,Average
71.4,18.9,87.5,38.2,Strong
22.6,10.8,32.2,34.6,Weak
28.0,11.7,70.1,21.8,Average
10.7,3.8,21.6,49.5,Weak
80.8,4.5,34.8,37.3,Average
69.8,22.7,22.5,43.2,Average
73.5,1.1,35.5,31.2,Weak
80.3,5.8,70.7,78.7,Average
51.3,7.3,91.9,93.7,Average
61.2,12.3,28.2,54.8,Average
22.6,14.7,58.8,67.9,Average
20.3,12.3,73.1,88.0,Average
70.2,2.1,95.8,99.9,Average
52.4,6.1,64.9,65.2,Average
60.9,21.1,33.0,90.1,Average
78.8,15.9,66.3,91.8,Strong
67.1,16.2,38.8,81.2,Average
59.8,16.8,97.9,51.5,Strong
60.3,19.1,46.0,17.3,Average
37.4,1.5,71.7,11.4,Weak
12.8,9.2,12.1,52.9,Weak
49.3,13.5,46.0,54.5,Average
29.3,8.5,88.8,46.7,Average
46.8,21.1,64.9,61.1,Average
86.8,12.1,50.0,59.7,Average
31.1,19.2,94.2,85.3,Strong
15.2,21.3,86.9,19.8,Average
35.3,12.6,39.0,30.3,Average
36.4,22.7,59.0,81.4,Average
69.6,14.7,54.1,86.3,Average
60.1,21.3,66.9,99.5,Strong
80.6,8.5,40.1,88.6,Average
69.8,12.5,32.0,90.1,Average
46.6,13.3,92.1,38.3,Average
83.3,2.6,93.1,46.1,Average
25.0,10.0,85.9,34.1,Average
12.0,22.9,98.0,64.6,Average
18.1,15.8,77.0,94.5,Average
75.0,4.4,78.8,41.0,Average
51.6,8.5,78.6,60.1,Average
24.5,4.8,53.3,36.7,Weak
55.1,0.6,51.1,25.3,Weak
23.7,23.2,31.6,27.6,Average
72.7,11.2,68.0,15.2,Average
50.2,7.7,36.0,95.4,Average
44.3,15.0,33.2,46.3,Average
37.1,0.2,62.7,85.1,Average
66.7,7.0,46.9,71.3,Average
42.6,17.6,29.7,27.3,Average
17.9,15.8,83.4,25.8,Average
20.6,24.5,87.5,83.1,Average
96.6,15.5,25.1,33.8,Average
91.8,11.9,10.7,92.2,Average
73.0,19.0,40.3,22.6,Average
33.9,22.6,81.8,71.0,Average
97.2,18.0,85.5,83.3,Strong
80.1,24.1,22.4,31.2,Average
74.5,19.6,79.7,34.9,Strong
50.4,21.7,20.4,96.8,Average
34.5,2.9,45.1,33.8,Weak
18.7,18.3,99.9,48.7,Average
91.2,11.0,27.3,48.9,Average
51.0,13.8,23.9,32.8,Average
28.2,16.4,48.1,79.8,Average
37.5,24.2,65.8,79.5,Average
62.1,24.6,94.0,44.0,Strong
25.9,7.2,98.3,85.2,Average
87.1,18.3,16.3,29.2,Average
78.3,18.7,22.4,10.4,Average
74.8,8.7,81.2,61.4,Average
48.9,3.1,34.4,99.5,Average
66.5,1.0,89.6,13.5,Average
62.6,19.4,69.7,28.7,Average
68.5,12.2,20.1,56.7,Average
17.6,24.6,84.9,82.9,Average
47.4,11.6,25.9,18.0,Average
13.7,24.4,48.1,45.6,Average
54.5,10.3,59.7,77.2,Average
39.7,19.8,55.1,43.4,Average
23.0,2.1,71.8,27.0,Weak
19.3,13.9,68.7,27.6,Average
62.9,20.1,99.3,46.9,Strong
25.4,23.1,99.9,53.1,Average
93.3,20.6,56.5,87.6,Strong
62.3,0.9,18.6,67.8,Weak
41.2,9.3,75.5,72.1,Average
63.2,1.2,97.9,98.5,Average
12.1,2.7,38.6,47.1,Weak
96.3,16.9,51.5,46.3,Strong
53.4,17.8,48.2,93.1,Average
80.4,19.3,14.6,32.1,Average
17.4,21.6,70.5,75.7,Average
53.8,18.5,41.8,77.9,Average
54.2,20.0,80.9,18.8,Average
94.4,1.2,84.9,52.1,Average
61.5,5.9,83.9,28.1,Average
52.6,15.5,47.5,26.7,Average
34.0,21.5,38.9,51.7,Average
39.8,0.1,77.4,36.0,Average
56.9,12.9,82.1,81.6,Average
49.5,16.9,54.2,91.7,Average
11.9,0.7,90.4,82.2,Average
84.4,10.0,23.0,33.9,Average
90.7,22.4,89.1,34.7,Strong
