attendance,test_score,assignment_submitted,label,name,batch,prediction_result,confidence,risk_percentage,performance_score,probabilities,score_breakdown,strengths,weaknesses,suggestions,category
79.7,15.6,7.0,Average,Unknown,Unknown,Average,99.1,0.9,52.12,"{'Weak': 0.9, 'Average': 99.1, 'Strong': 0.0}","{'attendance_contribution': 31.88, 'test_score_contribution': 6.24, 'assignment_submitted_contribution': 14.0}","['Good attendance (75-89%) — keep it consistent.', 'Good assignment submission rate (7/10).']",['Low test score (<50) — significant knowledge gaps.'],['Revisit core concepts; consider seeking tutoring support.'],Average
49.5,51.2,9.6,Average,Unknown,Unknown,Average,99.9,0.1,59.48,"{'Weak': 0.1, 'Average': 99.9, 'Strong': 0.0}","{'attendance_contribution': 19.8, 'test_score_contribution': 20.48, 'assignment_submitted_contribution': 19.2}",['Excellent assignment submission (9/10) — highly disciplined.'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Average test score (50-64) — needs improvement.']","['Attend every possible session immediately.', 'Practice past papers and revise weak topics regularly.']",Average
87.3,21.6,4.3,Average,Unknown,Unknown,Average,99.8,0.2,52.16,"{'Weak': 0.2, 'Average': 99.8, 'Strong': 0.1}","{'attendance_contribution': 34.92, 'test_score_contribution': 8.64, 'assignment_submitted_contribution': 8.6}",['Good attendance (75-89%) — keep it consistent.'],"['Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (4/10) — impacting overall score.']","['Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.']",Average
72.8,23.7,4.8,Average,Unknown,Unknown,Average,99.6,0.3,48.2,"{'Weak': 0.3, 'Average': 99.6, 'Strong': 0.0}","{'attendance_contribution': 29.12, 'test_score_contribution': 9.48, 'assignment_submitted_contribution': 9.6}",[],"['Below-target attendance (60-74%).', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (4/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.']",Average
18.5,66.9,8.3,Average,Unknown,Unknown,Average,99.7,0.3,50.76,"{'Weak': 0.3, 'Average': 99.7, 'Strong': 0.1}","{'attendance_contribution': 7.4, 'test_score_contribution': 26.76, 'assignment_submitted_contribution': 16.6}","['Above-average test performance (65-79).', 'Good assignment submission rate (8/10).']",['Critical attendance deficit (<60%) — high risk of falling behind.'],['Attend every possible session immediately.'],Average
97.8,45.4,5.6,Strong,Unknown,Unknown,Strong,97.4,0.0,68.48,"{'Weak': 0.0, 'Average': 2.6, 'Strong': 97.4}","{'attendance_contribution': 39.12, 'test_score_contribution': 18.16, 'assignment_submitted_contribution': 11.2}",['Outstanding attendance (>=90%) — excellent commitment.'],"['Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Strong
78.5,93.0,7.6,Average,Unknown,Unknown,Average,98.7,0.0,83.8,"{'Weak': 0.0, 'Average': 98.7, 'Strong': 1.3}","{'attendance_contribution': 31.4, 'test_score_contribution': 37.2, 'assignment_submitted_contribution': 15.2}","['Good attendance (75-89%) — keep it consistent.', 'Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (7/10).']",[],['Performing well across all areas — maintain consistency!'],Average
80.7,38.7,5.1,Average,Unknown,Unknown,Average,99.8,0.1,57.96,"{'Weak': 0.1, 'Average': 99.8, 'Strong': 0.1}","{'attendance_contribution': 32.28, 'test_score_contribution': 15.48, 'assignment_submitted_contribution': 10.2}",['Good attendance (75-89%) — keep it consistent.'],"['Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Average
21.5,75.4,2.9,Average,Unknown,Unknown,Average,99.7,0.2,44.56,"{'Weak': 0.2, 'Average': 99.7, 'Strong': 0.0}","{'attendance_contribution': 8.6, 'test_score_contribution': 30.16, 'assignment_submitted_contribution': 5.8}",['Above-average test performance (65-79).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Submit assignments immediately; this severely affects your overall performance.']",Average
50.5,51.5,7.7,Average,Unknown,Unknown,Average,99.9,0.1,56.2,"{'Weak': 0.1, 'Average': 99.9, 'Strong': 0.0}","{'attendance_contribution': 20.2, 'test_score_contribution': 20.6, 'assignment_submitted_contribution': 15.4}",['Good assignment submission rate (7/10).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Average test score (50-64) — needs improvement.']","['Attend every possible session immediately.', 'Practice past papers and revise weak topics regularly.']",Average
