attendance,test_score,assignment_submitted,label,name,batch,prediction_result,confidence,risk_percentage,performance_score,probabilities,score_breakdown,strengths,weaknesses,suggestions,category
97.8,45.4,5.6,Strong,Unknown,Unknown,Strong,97.4,0.0,68.48,"{'Weak': 0.0, 'Average': 2.6, 'Strong': 97.4}","{'attendance_contribution': 39.12, 'test_score_contribution': 18.16, 'assignment_submitted_contribution': 11.2}",['Outstanding attendance (>=90%) — excellent commitment.'],"['Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Strong
93.4,64.0,2.8,Strong,Unknown,Unknown,Strong,97.1,0.0,68.56,"{'Weak': 0.0, 'Average': 2.9, 'Strong': 97.1}","{'attendance_contribution': 37.36, 'test_score_contribution': 25.6, 'assignment_submitted_contribution': 5.6}",['Outstanding attendance (>=90%) — excellent commitment.'],"['Average test score (50-64) — needs improvement.', 'Very few assignments submitted (2/10) — critical gap.']","['Practice past papers and revise weak topics regularly.', 'Submit assignments immediately; this severely affects your overall performance.']",Strong
84.0,95.5,7.7,Strong,Unknown,Unknown,Strong,98.1,0.0,87.2,"{'Weak': 0.0, 'Average': 1.9, 'Strong': 98.1}","{'attendance_contribution': 33.6, 'test_score_contribution': 38.2, 'assignment_submitted_contribution': 15.4}","['Good attendance (75-89%) — keep it consistent.', 'Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (7/10).']",[],['Performing well across all areas — maintain consistency!'],Strong
78.2,90.3,3.6,Strong,Unknown,Unknown,Strong,95.5,0.0,74.6,"{'Weak': 0.0, 'Average': 4.5, 'Strong': 95.5}","{'attendance_contribution': 31.28, 'test_score_contribution': 36.12, 'assignment_submitted_contribution': 7.2}","['Good attendance (75-89%) — keep it consistent.', 'Excellent test scores (>=80) — strong conceptual grasp.']",['Low assignment submissions (3/10) — impacting overall score.'],['Prioritise assignments; create a submission schedule with deadlines.'],Strong
97.4,99.3,9.0,Strong,Unknown,Unknown,Strong,100.0,0.0,96.68,"{'Weak': 0.0, 'Average': 0.0, 'Strong': 100.0}","{'attendance_contribution': 38.96, 'test_score_contribution': 39.72, 'assignment_submitted_contribution': 18.0}","['Outstanding attendance (>=90%) — excellent commitment.', 'Excellent test scores (>=80) — strong conceptual grasp.', 'Excellent assignment submission (9/10) — highly disciplined.']",[],['Performing well across all areas — maintain consistency!'],Strong
90.4,57.8,7.8,Strong,Unknown,Unknown,Strong,95.9,0.0,74.88,"{'Weak': 0.0, 'Average': 4.1, 'Strong': 95.9}","{'attendance_contribution': 36.16, 'test_score_contribution': 23.12, 'assignment_submitted_contribution': 15.6}","['Outstanding attendance (>=90%) — excellent commitment.', 'Good assignment submission rate (7/10).']",['Average test score (50-64) — needs improvement.'],['Practice past papers and revise weak topics regularly.'],Strong
52.0,95.3,4.2,Strong,Unknown,Unknown,Strong,94.8,0.1,67.32,"{'Weak': 0.1, 'Average': 5.1, 'Strong': 94.8}","{'attendance_contribution': 20.8, 'test_score_contribution': 38.12, 'assignment_submitted_contribution': 8.4}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low assignment submissions (4/10) — impacting overall score.']","['Attend every possible session immediately.', 'Prioritise assignments; create a submission schedule with deadlines.']",Strong
97.1,74.8,2.2,Strong,Unknown,Unknown,Strong,99.5,0.0,73.16,"{'Weak': 0.0, 'Average': 0.5, 'Strong': 99.5}","{'attendance_contribution': 38.84, 'test_score_contribution': 29.92, 'assignment_submitted_contribution': 4.4}","['Outstanding attendance (>=90%) — excellent commitment.', 'Above-average test performance (65-79).']",['Very few assignments submitted (2/10) — critical gap.'],['Submit assignments immediately; this severely affects your overall performance.'],Strong
43.3,91.6,7.4,Strong,Unknown,Unknown,Strong,93.4,0.1,68.76,"{'Weak': 0.1, 'Average': 6.5, 'Strong': 93.4}","{'attendance_contribution': 17.32, 'test_score_contribution': 36.64, 'assignment_submitted_contribution': 14.8}","['Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (7/10).']",['Critical attendance deficit (<60%) — high risk of falling behind.'],['Attend every possible session immediately.'],Strong
71.4,87.5,3.8,Strong,Unknown,Unknown,Strong,95.8,0.0,71.16,"{'Weak': 0.0, 'Average': 4.2, 'Strong': 95.8}","{'attendance_contribution': 28.56, 'test_score_contribution': 35.0, 'assignment_submitted_contribution': 7.6}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Below-target attendance (60-74%).', 'Low assignment submissions (3/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Prioritise assignments; create a submission schedule with deadlines.']",Strong
78.8,66.3,9.2,Strong,Unknown,Unknown,Strong,96.6,0.0,76.44,"{'Weak': 0.0, 'Average': 3.4, 'Strong': 96.6}","{'attendance_contribution': 31.52, 'test_score_contribution': 26.52, 'assignment_submitted_contribution': 18.4}","['Good attendance (75-89%) — keep it consistent.', 'Above-average test performance (65-79).', 'Excellent assignment submission (9/10) — highly disciplined.']",[],['Performing well across all areas — maintain consistency!'],Strong
59.8,97.9,5.2,Strong,Unknown,Unknown,Strong,98.4,0.0,73.48,"{'Weak': 0.0, 'Average': 1.5, 'Strong': 98.4}","{'attendance_contribution': 23.92, 'test_score_contribution': 39.16, 'assignment_submitted_contribution': 10.4}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Submit all remaining assignments; aim for >=8/10.']",Strong
31.1,94.2,8.5,Strong,Unknown,Unknown,Strong,94.7,0.0,67.12,"{'Weak': 0.0, 'Average': 5.3, 'Strong': 94.7}","{'attendance_contribution': 12.44, 'test_score_contribution': 37.68, 'assignment_submitted_contribution': 17.0}","['Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (8/10).']",['Critical attendance deficit (<60%) — high risk of falling behind.'],['Attend every possible session immediately.'],Strong
60.1,66.9,10.0,Strong,Unknown,Unknown,Strong,96.2,0.0,70.8,"{'Weak': 0.0, 'Average': 3.8, 'Strong': 96.2}","{'attendance_contribution': 24.04, 'test_score_contribution': 26.76, 'assignment_submitted_contribution': 20.0}","['Above-average test performance (65-79).', 'Excellent assignment submission (10/10) — highly disciplined.']",['Below-target attendance (60-74%).'],['Aim for >=75% attendance to stay on track.'],Strong
97.2,85.5,8.3,Strong,Unknown,Unknown,Strong,98.8,0.0,89.68,"{'Weak': 0.0, 'Average': 1.1, 'Strong': 98.8}","{'attendance_contribution': 38.88, 'test_score_contribution': 34.2, 'assignment_submitted_contribution': 16.6}","['Outstanding attendance (>=90%) — excellent commitment.', 'Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (8/10).']",[],['Performing well across all areas — maintain consistency!'],Strong
74.5,79.7,3.5,Strong,Unknown,Unknown,Strong,95.9,0.0,68.68,"{'Weak': 0.0, 'Average': 4.1, 'Strong': 95.9}","{'attendance_contribution': 29.8, 'test_score_contribution': 31.88, 'assignment_submitted_contribution': 7.0}",['Above-average test performance (65-79).'],"['Below-target attendance (60-74%).', 'Low assignment submissions (3/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Prioritise assignments; create a submission schedule with deadlines.']",Strong
62.1,94.0,4.4,Strong,Unknown,Unknown,Strong,99.8,0.0,71.24,"{'Weak': 0.0, 'Average': 0.2, 'Strong': 99.8}","{'attendance_contribution': 24.84, 'test_score_contribution': 37.6, 'assignment_submitted_contribution': 8.8}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Below-target attendance (60-74%).', 'Low assignment submissions (4/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Prioritise assignments; create a submission schedule with deadlines.']",Strong
62.9,99.3,4.7,Strong,Unknown,Unknown,Strong,98.5,0.0,74.28,"{'Weak': 0.0, 'Average': 1.5, 'Strong': 98.5}","{'attendance_contribution': 25.16, 'test_score_contribution': 39.72, 'assignment_submitted_contribution': 9.4}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Below-target attendance (60-74%).', 'Low assignment submissions (4/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Prioritise assignments; create a submission schedule with deadlines.']",Strong
93.3,56.5,8.8,Strong,Unknown,Unknown,Strong,98.9,0.0,77.52,"{'Weak': 0.0, 'Average': 1.1, 'Strong': 98.9}","{'attendance_contribution': 37.32, 'test_score_contribution': 22.6, 'assignment_submitted_contribution': 17.6}","['Outstanding attendance (>=90%) — excellent commitment.', 'Good assignment submission rate (8/10).']",['Average test score (50-64) — needs improvement.'],['Practice past papers and revise weak topics regularly.'],Strong
96.3,51.5,4.6,Strong,Unknown,Unknown,Strong,96.5,0.0,68.32,"{'Weak': 0.0, 'Average': 3.5, 'Strong': 96.5}","{'attendance_contribution': 38.52, 'test_score_contribution': 20.6, 'assignment_submitted_contribution': 9.2}",['Outstanding attendance (>=90%) — excellent commitment.'],"['Average test score (50-64) — needs improvement.', 'Low assignment submissions (4/10) — impacting overall score.']","['Practice past papers and revise weak topics regularly.', 'Prioritise assignments; create a submission schedule with deadlines.']",Strong
