attendance,test_score,assignment_submitted,label,name,batch,prediction_result,confidence,risk_percentage,performance_score,probabilities,score_breakdown,strengths,weaknesses,suggestions,category
43.4,69.4,2.2,Weak,Unknown,Unknown,Weak,94.4,94.4,49.52,"{'Weak': 94.4, 'Average': 5.5, 'Strong': 0.1}","{'attendance_contribution': 17.36, 'test_score_contribution': 27.76, 'assignment_submitted_contribution': 4.4}",['Above-average test performance (65-79).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
30.5,26.0,3.4,Weak,Unknown,Unknown,Weak,96.1,96.1,29.4,"{'Weak': 96.1, 'Average': 3.8, 'Strong': 0.0}","{'attendance_contribution': 12.2, 'test_score_contribution': 10.4, 'assignment_submitted_contribution': 6.8}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
84.5,13.6,2.4,Weak,Unknown,Unknown,Weak,96.1,96.1,44.04,"{'Weak': 96.1, 'Average': 3.8, 'Strong': 0.0}","{'attendance_contribution': 33.8, 'test_score_contribution': 5.44, 'assignment_submitted_contribution': 4.8}",['Good attendance (75-89%) — keep it consistent.'],"['Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (2/10) — critical gap.']","['Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
27.5,37.2,2.6,Weak,Unknown,Unknown,Weak,97.0,97.0,31.08,"{'Weak': 97.0, 'Average': 3.0, 'Strong': 0.0}","{'attendance_contribution': 11.0, 'test_score_contribution': 14.88, 'assignment_submitted_contribution': 5.2}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
52.3,47.7,1.6,Weak,Unknown,Unknown,Weak,95.1,95.1,43.2,"{'Weak': 95.1, 'Average': 4.8, 'Strong': 0.0}","{'attendance_contribution': 20.92, 'test_score_contribution': 19.08, 'assignment_submitted_contribution': 3.2}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (1/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
22.6,32.2,3.5,Weak,Unknown,Unknown,Weak,95.3,95.3,28.92,"{'Weak': 95.3, 'Average': 4.7, 'Strong': 0.0}","{'attendance_contribution': 9.04, 'test_score_contribution': 12.88, 'assignment_submitted_contribution': 7.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
10.7,21.6,5.0,Weak,Unknown,Unknown,Weak,99.2,99.2,22.92,"{'Weak': 99.2, 'Average': 0.8, 'Strong': 0.0}","{'attendance_contribution': 4.28, 'test_score_contribution': 8.64, 'assignment_submitted_contribution': 10.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
73.5,35.5,3.1,Weak,Unknown,Unknown,Weak,89.9,89.9,49.8,"{'Weak': 89.9, 'Average': 10.1, 'Strong': 0.0}","{'attendance_contribution': 29.4, 'test_score_contribution': 14.2, 'assignment_submitted_contribution': 6.2}",[],"['Below-target attendance (60-74%).', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.']",Weak
37.4,71.7,1.1,Weak,Unknown,Unknown,Weak,96.4,96.4,45.84,"{'Weak': 96.4, 'Average': 3.6, 'Strong': 0.0}","{'attendance_contribution': 14.96, 'test_score_contribution': 28.68, 'assignment_submitted_contribution': 2.2}",['Above-average test performance (65-79).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Very few assignments submitted (1/10) — critical gap.']","['Attend every possible session immediately.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
12.8,12.1,5.3,Weak,Unknown,Unknown,Weak,100.0,100.0,20.56,"{'Weak': 100.0, 'Average': 0.0, 'Strong': 0.0}","{'attendance_contribution': 5.12, 'test_score_contribution': 4.84, 'assignment_submitted_contribution': 10.6}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
24.5,53.3,3.7,Weak,Unknown,Unknown,Weak,95.2,95.2,38.52,"{'Weak': 95.2, 'Average': 4.8, 'Strong': 0.0}","{'attendance_contribution': 9.8, 'test_score_contribution': 21.32, 'assignment_submitted_contribution': 7.4}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Average test score (50-64) — needs improvement.', 'Low assignment submissions (3/10) — impacting overall score.']","['Attend every possible session immediately.', 'Practice past papers and revise weak topics regularly.', 'Prioritise assignments; create a submission schedule with deadlines.']",Weak
55.1,51.1,2.5,Weak,Unknown,Unknown,Weak,94.6,94.6,47.48,"{'Weak': 94.6, 'Average': 5.4, 'Strong': 0.0}","{'attendance_contribution': 22.04, 'test_score_contribution': 20.44, 'assignment_submitted_contribution': 5.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Average test score (50-64) — needs improvement.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Practice past papers and revise weak topics regularly.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
34.5,45.1,3.4,Weak,Unknown,Unknown,Weak,94.2,94.2,38.64,"{'Weak': 94.2, 'Average': 5.8, 'Strong': 0.0}","{'attendance_contribution': 13.8, 'test_score_contribution': 18.04, 'assignment_submitted_contribution': 6.8}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
23.0,71.8,2.7,Weak,Unknown,Unknown,Weak,93.4,93.4,43.32,"{'Weak': 93.4, 'Average': 6.6, 'Strong': 0.0}","{'attendance_contribution': 9.2, 'test_score_contribution': 28.72, 'assignment_submitted_contribution': 5.4}",['Above-average test performance (65-79).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
62.3,18.6,6.8,Weak,Unknown,Unknown,Weak,96.7,96.7,45.96,"{'Weak': 96.7, 'Average': 3.0, 'Strong': 0.3}","{'attendance_contribution': 24.92, 'test_score_contribution': 7.44, 'assignment_submitted_contribution': 13.6}",[],"['Below-target attendance (60-74%).', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (6/10) — room to improve.']","['Aim for >=75% attendance to stay on track.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
